上海博泰悦臻PATEO	上海博泰悦臻电子设备制造有限公司
亿航智能	广州亿航智能技术有限公司
亿航无人机	广州亿航智能技术有限公司
海纳医信	海纳医信（北京）软件科技有限责任公司
蓝胖子机器人	深圳蓝胖子机器人有限公司
Dorabot	深圳蓝胖子机器人有限公司
宝尊电商	上海宝尊电子商务有限公司
璞华大数据	武汉璞华大数据技术有限公司
弥亚微电子	弥亚微电子（上海）有限公司
光力科技	光力科技股份有限公司
iTools创想天空Thinksy	深圳市创想天空科技有限公司
珠海云洲智能科技	珠海云洲智能科技有限公司
凌动智行	北京网秦天下科技有限公司
弗徕威智能机器人	弗徕威智能机器人科技（上海）有限公司
太尔时代Tiertime	北京太尔时代科技有限公司
91无线	福建百度博瑞网络科技有限公司
AOD3D奥德莱	青岛奥德莱三维打印有限公司
微泰医疗	微泰医疗器械（杭州）有限公司
PadBot派宝机器人	广州映博智能科技有限公司
机器人在线	美坚投资管理（上海）有限公司
蜂助手网络	广东蜂助手网络技术股份有限公司
派瑞威行Aspiration	北京派瑞威行广告有限公司
医学V直播	北京医洋科技有限公司
斯凯智能Skye Orbit	西安斯凯智能科技有限公司
金石机器人	金石机器人常州有限公司
VIPKID大米科技	北京大米科技有限公司
FLYPRO飞豹无人机	深圳飞豹航天航空科技有限公司
飞豹科技	深圳飞豹航天航空科技有限公司
酷镜CoolGlass	北京帕罗奥图科技有限公司
永洪科技	北京永洪商智科技有限公司
苏州赛富科技	苏州赛富科技有限公司
公子小白	深圳狗尾草智能科技有限公司
易瓦特无人机	易瓦特科技股份公司
开源道	杭州宝豆科技有限公司
宝豆科技	杭州宝豆科技有限公司
物联智能家居	南京物联传感技术有限公司
马可波罗	北京搜斗士信息技术有限公司
搜斗士	北京搜斗士信息技术有限公司
智齿科技	北京智齿博创科技有限公司
智齿客服	北京智齿博创科技有限公司
股票雷达	北京聚信量化科技有限公司
OmniVision豪威科技	北京豪威科技有限公司
XAIRCRAFT极飞科技	广州极飞电子科技有限公司
零度智控ZERO TECH	零度智控（北京）智能科技有限公司
Bogo儿童探索机器人	深圳市天博智科技有限公司
天博智TBZ	深圳市天博智科技有限公司
今日头条	北京字节跳动科技有限公司
字节跳动	北京字节跳动科技有限公司
红石阳光	红石阳光（北京）科技股份有限公司
上海缔安软件AOLC	上海缔安软件技术有限公司
MEMS Drive	麦斯卓微电子（深圳）有限公司
喵爪网络MZ星球	上海喵爪网络科技有限公司
玩蟹科技	北京玩蟹科技有限公司
大掌门	北京玩蟹科技有限公司
泰凌微电子	泰凌微电子（上海）有限公司
ECOVACS科沃斯机器人	苏州科沃斯机器人电子商务有限公司
深之蓝水下机器人	天津深之蓝海洋设备科技有限公司
深之蓝海洋设备	天津深之蓝海洋设备科技有限公司
凯中精密	深圳市凯中精密技术股份有限公司
名片全能王	上海合合信息科技发展有限公司
合合信息	上海合合信息科技发展有限公司
圆融科技	圆融光电科技股份有限公司
圆融光电	圆融光电科技股份有限公司
极思维智能科技	深圳市极思维智能科技有限公司
海云捷迅AWcloud	北京海云捷迅科技有限公司
创新通恒	北京创新通恒科技有限公司
如医医生	上海帝林生物科技研发股份有限公司
遨博智能	遨博（北京）智能科技有限公司
名医主刀网	上海创贤网络科技有限公司
青云QingCloud	北京优帆科技有限公司
仕佳光子	河南仕佳光子科技股份有限公司
金山云	北京金山云网络技术有限公司
明略数据	北京明略软件系统有限公司
搜疾病问医生	青岛联创优内信息技术有限公司
联创优内	青岛联创优内信息技术有限公司
悦跑圈	广州悦跑信息科技有限公司
悦跑科技	广州悦跑信息科技有限公司
益盟股份	上海益盟软件技术股份有限公司
益盟操盘手	上海益盟软件技术股份有限公司
易云捷讯Eayun	易云捷讯科技（北京）股份有限公司
车音网	车音智能科技有限公司
车音智能	车音智能科技有限公司
华润万里云医疗	万里云医疗信息科技（北京）有限公司
腾米尼科技Tenmini	北京腾米尼科技有限公司
腾米跑跑	北京腾米尼科技有限公司
商安信	商安信（上海）企业管理咨询股份有限公司
伍德伯尔尼	伍德伯恩（北京）科技有限责任公司
赫千电子	上海赫千电子科技有限公司
又拍云UPYUN	杭州又拍云科技有限公司
用武之地	赋泽体育科技（北京）有限公司
赋泽体育	赋泽体育科技（北京）有限公司
现金巴士	微额速达（上海）金融信息服务有限公司
企额宝	北京企额宝资产管理有限公司
爱乐奇	说宝堂信息科技（上海）有限公司
云家政	上海家谐网络科技有限公司
阿里路亚	阿里路亚（上海）投资发展有限公司
来财街	阿里路亚（上海）投资发展有限公司
inPlug硬糖	北京网河时代科技有限公司
网河时代科技	北京网河时代科技有限公司
行早金融	浙江行早信息科技股份有限公司
盒子鱼英语	北京盒子鱼教育科技有限公司
小i机器人	上海智臻智能网络科技股份有限公司
蚁视科技ANTVR	北京蚁视科技有限公司
高仙机器人	上海高仙自动化科技发展有限公司
GS-ROBOT	上海高仙自动化科技发展有限公司
财富桥	北京奥克巴尔科技有限公司
奥克巴尔科技	北京奥克巴尔科技有限公司
ABC英语	北京径成英教育网络科技有限公司
径成英	北京径成英教育网络科技有限公司
云知声	北京云知声信息技术有限公司
快乐熊猫	快乐熊猫科技（常州）有限公司
让居住更安心	杭州云柚科技有限公司
云柚科技	杭州云柚科技有限公司
自游网络	深圳市自游网络有限公司
刻通云KeyTone Cloud	上海刻通信息技术有限公司
西游汉语乐园	上海汉声信息技术有限公司
汉声中文网	上海汉声信息技术有限公司
Airobotics	Airobotics
沃趣科技	杭州沃趣科技股份有限公司
QMonitor	杭州沃趣科技股份有限公司
深圳一电航空	深圳一电航空技术有限公司
阿姨帮	北京达客优家信息技术有限公司
达客优家	北京达客优家信息技术有限公司
多洗	北京伟创盛达商贸有限公司
伟创盛达	北京伟创盛达商贸有限公司
kespry	kespry
上海钜派投资	上海钜派投资集团有限公司
星环科技TransWarp	星环信息科技（上海）有限公司
淘才科技	北京淘才信息技术有限公司
淘才帮	北京淘才信息技术有限公司
华云数据	无锡华云数据技术服务有限公司
深醒科技	北京深醒科技有限公司
蔚来汽车	上海蔚来科技有限公司
商询科技	北京商询科技有限公司
DataMesh	北京商询科技有限公司
科大讯飞	安徽科大讯飞信息科技股份有限公司
深圳泰瑞谷科技	深圳市泰瑞谷科技有限公司
商汤科技SenseTime	北京市商汤科技开发有限公司
Future Mobility和谐富腾	河南和谐富腾互联网加智能电动汽车企业管理有限公司
3Glasses	深圳虚拟现实科技有限公司
环迅教育	北京飞博教育科技股份有限公司
飞博教育	北京飞博教育科技股份有限公司
康士柏	深圳市康士柏实业有限公司
洗衣邦	邦美科技（北京）有限公司
邦美科技	邦美科技（北京）有限公司
九好	浙江九好办公服务集团有限公司
龙信数据	龙信数据（北京）有限公司
掌慧纵盈	北京掌慧纵盈科技股份有限公司
哒哒英语	上海卓赞教育科技有限公司
DaDaABC	上海卓赞教育科技有限公司
知行合一科技	深圳市知行合一科技有限公司
极光大数据	深圳市和讯华谷信息技术有限公司
天机智讯	深圳市智搜信息技术有限公司
智搜信息	深圳市智搜信息技术有限公司
数为科技	武汉数为科技有限公司
智山机器人	北京智山机器人科技有限责任公司
看呗APP	成都了不起科技有限公司
了不起科技	成都了不起科技有限公司
八阿哥bugclose	北京迅猛龙网络科技有限公司
迅猛龙科技	北京迅猛龙网络科技有限公司
e家洁	北京逸家洁信息技术股份有限公司
Appier	沛星互动科技股份有限公司
翼菲机器人	济南翼菲自动化科技有限公司
翼菲自动化	济南翼菲自动化科技有限公司
海知智能ruiyi.ai	上海海知智能科技有限公司
Scene	上海思奈环保科技有限公司
思奈环科	上海思奈环保科技有限公司
好慷在家	厦门好慷家政服务有限公司
友信宏科	北京友信宏科电子科技股份有限公司
友信科技	北京友信宏科电子科技股份有限公司
大疆创新	深圳市大疆创新科技有限公司
大疆无人机	深圳市大疆创新科技有限公司
前向启创	深圳前向启创数码技术有限公司
Aleiye魔方数迅科技	北京数迅科技有限公司
捷通华声	北京捷通华声语音技术有限公司
强风信息科技	上海强风信息科技有限公司
爱燃烧	上海强风信息科技有限公司
赛步网络	上海赛步网络科技有限公司
够快网络科技	上海够快网络科技股份有限公司
够快云库	上海够快网络科技股份有限公司
诺尔康神经电子科技	杭州诺尔康神经电子科技有限公司
安畅网络	上海安畅网络科技股份有限公司
净净洗衣	上海小净信息科技有限公司
智车优行	智车优行科技（上海）有限公司
七鑫易维	北京七鑫易维信息技术有限公司
aGlass智能眼镜	北京七鑫易维信息技术有限公司
枭龙科技	北京枭龙科技有限公司
码易	北京智网易联科技有限公司
游侠汽车	上海修源网络科技有限公司
优必达科技	优必达科技有限公司
和梓咨询	浙江和梓企业管理咨询有限公司
神念科技NeuroSky	神念电子科技（无锡）有限公司
乐博乐博机器人ROBOROBO	北京乐博乐博教育科技有限公司
建业科技	上海建业信息科技股份有限公司
兆晶科技	广州市兆晶电子科技有限公司
九索数据	西安九索数据技术股份有限公司
玻森数据BosonNLP	上海玻森数据科技有限公司
InnoLight Technology旭创科技	苏州旭创科技有限公司
搜一圈	盘古开饭（北京）科技有限公司
盘古开饭	盘古开饭（北京）科技有限公司
斑马汽车	上海斑马汽车服务有限公司
集盛星泰	集盛星泰（北京）科技有限公司
易捷行云	北京易捷思达科技发展有限公司
EasyStack	北京易捷思达科技发展有限公司
灵聚智能	广州灵聚信息科技有限公司
灵聚科技	广州灵聚信息科技有限公司
零零无限科技	北京零零无限科技有限公司
三三得玖	深圳市三三得玖通信技术有限公司
泰笛洗衣	泰笛（上海）网络科技股份有限公司
泰笛科技	泰笛（上海）网络科技股份有限公司
极智飞扬科技	北京极智飞扬科技有限公司
智东西	北京极智飞扬科技有限公司
越疆科技Dobot	深圳市越疆科技有限公司
GitCafe	上海东革志信息科技有限公司
上海东革志科技	上海东革志信息科技有限公司
世纪睿科	世纪睿科集团有限公司
平南云学习	上海平南网络科技有限公司
易盟天地	北京易盟天地信息技术有限公司
管家帮	北京易盟天地信息技术有限公司
新锋网爱应用	北京新锋艾普网络科技有限公司
新锋艾普	北京新锋艾普网络科技有限公司
北京恒易蓝云软件	北京恒易传奇科技有限责任公司
21vianet	北京世纪互联宽带数据中心有限公司
旦悦科技	杭州旦悦科技有限公司
ABC360伯瑞英语	杭州旦悦科技有限公司
e袋洗	荣昌耀华网络技术（北京）有限公司
小e管家	荣昌耀华网络技术（北京）有限公司
口语易	广州朗通通信技术服务有限公司
朗通通信	广州朗通通信技术服务有限公司
梅卡曼德	梅卡曼德（北京）机器人科技有限公司
悦动天下	深圳市悦动天下科技有限公司
悦动圈	深圳市悦动天下科技有限公司
优必选科技	深圳市优必选科技有限公司
e成职场	上海逸橙信息科技有限公司
逸橙科技	上海逸橙信息科技有限公司
酷听说	上海酷听说网络科技有限公司
PP Gun思萌科技	北京点名时间科技有限公司
牛犇犇	杭州同方联合互联网金融服务有限公司
Emotech	Emotech
Innoviz Technologies	Innoviz Technologies
阿里云	阿里云计算有限公司
台风互动	台风互动（北京）信息技术有限公司
中科视拓Seetatech	中科视拓（北京）科技有限公司
仕净环保	苏州仕净环保科技股份有限公司
小蚁科技	上海小蚁科技有限公司
